sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S4,CH3O,218,-765.031349,-1.9688,3744360.6,True,136,1.434,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.02, 2.1, 2.11]"
S4,CH3O,73,-765.030264,-1.9677,3745445.3,True,146,1.434,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.02, 2.1, 2.1]"
S4,CH3O,117,-765.021666,-1.9591,3754044.0,True,74,1.434,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.02, 2.1, 2.1]"
S4,CH3O,146,-765.018299,-1.9558,3757410.1,True,135,1.431,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.02, 2.1, 2.11]"
S4,CH3O,243,-765.013171,-1.9506,3762538.1,True,82,1.431,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,250,-765.003182,-1.9406,3772527.7,True,87,1.431,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.02, 2.1, 2.11]"
S4,CH3O,376,-764.999864,-1.9373,3775845.6,True,87,1.431,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.02, 2.1, 2.11]"
S4,CH3O,385,-764.979038,-1.9165,3796671.9,True,92,1.44,unknown,"[1.1, 1.1, 1.1, 1.46, 1.8, 1.82, 1.82, 2.05, 2.07, 2.11]"
S4,CH3O,175,-764.9766,-1.9141,3799109.7,True,125,1.427,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.03, 2.1, 2.11]"
S4,CH3O,81,-764.92339,-1.8608,3852319.1,True,91,1.978,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.81, 2.0, 2.09, 2.1]"
S4,CH3O,282,-764.922512,-1.86,3853197.2,True,80,2.465,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.81, 2.0, 2.1, 2.1]"
S4,CH3O,156,-764.921967,-1.8594,3853742.3,True,80,2.462,unknown,"[1.11, 1.11, 1.11, 1.41, 1.8, 1.81, 1.81, 2.0, 2.09, 2.09]"
